Root,Transliteration,Meaning,Voice,Class
भृ,bhri,"to bear, \nto support, \nto nourish, \nto protect, \nto produce, \nto bes\ntow, \nto hire\nto blame, \nto censure, \nto nourish, \nto maintain\nto support, \nto bear, \nto have, \nto fill",P,1
भ्री,bhri,"to fear, \nto support",P,1
भृज्,bhrij,"to parch, \nto fry",P,1
भृंश्,bhrinsh,"to speak, \nto shine",P,1
भृश्,bhrish,to fall down,P,1
भ्रुड्,bhrud,"to cover, \nto collect, \nto plunge",P,1
भ्रूण्,bhrun,"to hope, \nto fear",P,1
भू,bhu,"to be purified, \nto consider, \nto mix\nto be\nto obtain, \nto attend",P,1
भुज्,bhuj,"to bend, \nto curve, \nto be crooked\nto protect, \nto govern, \nto rule",P,1
भूंष्,bhunsh,to adorn,P,1
भूष्,bhush,"to adorn, \nto decorate",P,1
भ्यस्,bhyas,to fear,P,1
बिल्,bil,"to break\nto break, \nto split, \nto divide",,
बिन्द्,bind,"to split, \nto cleave, \nto divide",,
बिस्,bis,"to throw, \nto instigate, \nto go, \nto split, \nto grow",,
बिट्,bit,"to swear, \nto curse, \nto shout",,
बृह्,brih,"to work, \nto labour",,
बृंह्,brinh,"to increase, \nto sound",,
बृन्न्,brinn,"to grow, \nto increase",,
ब्रू,bru,to speak\nto say\nto tell,,
ब्रूस्,brus,"to kill, \nto hurt",,
बुड्,bud,"to discharge, \nto cover",,
बुध्,budh,"to know, \nto understand, \nto awake, \nto be res\ntored \nto one’s senses\nto know\nto understand\nto think\nto make known\nto inform\nto teach",,
बुक्क्,bukk,"to bark, \nto speak\nto bark\nto sound\nto yelp\nto speak",,
बुन्द्,bund,to perceive\nto apprehend,,
बुस्,bus,"to discharge, \nto emit",,
बुस्त्,bust,"to respect, \nto disrespect",,
ब्युस्,byus,to divide,,
चच्,chach,to go\nto shake\nto leap,,
चह्,chah,"to be wicked, \nto be proud, \nto cheat\nto be wicked\nto be proud\nto cheat",,
चक्,chak,"to be satisfied\nto be satisfied, \nto repel\nto resist, \nto shine",,
चकास्,chakas,"to shine, \nto be bright or prosperous",,
चक्क्,chakk,"to suffer, \nto give pain",,
चक्ष्,chaksh,"to speak, \nto tell, \nto see",,
चल्,chal,"to foster, \nto cherish\nto play\nto amuse oneself",,
चम्,cham,to eat\nto eat\nto drink,,
चम्ब्,chamb,to go,,
चम्प्,champ,to go\nto go,,
चण्,chan,"to go, \nto sound",,
चन्,chan,"to believe, \nto kill\nto kill",,
चण्ड्,chand,to be angry\nto be angry,,
चन्द्,chand,to be glad\nto shine,,
चङ्क्,chank,to reel\nto roll,,
चप्,chap,to console\nto sooth\nto grind,,
चर्,char,"to doubt\nto go\nto walk, \nto graze\nto eat",,
चर्ब्,charb,to go,,
चर्च्,charch,"to discuss, \nto condemn\nto censure\nto peruse, \nto study",,
चर्व्,charv,"to chew, \nto eat\nto browse\nto chop\nto bite\nto eat, \nto chew",,
चष्,chash,to eat,,
चट्,chat,"to break, \nto rain, \nto cover\nto kill, \nto injure\nto break",,
चत्,chat,"to beg, \nto request",,
चय्,chay,to go,,
चाय्,chay,"to worship, \nto discern",,
चेल्,chel,to shake\nto go,,
चेष्ट्,chesht,to act,,
छद्,chhad,"to close, \nto conceal, \nto cover\nto conceal, \nto cover",,
छम्,chham,"to eat, \nto consume",,
छन्द्,chhand,"to cover\nto cover, \nto please, \nto persuade",,
छर्द्,chhard,to vomit,,
छष्,chhash,"to hurt\nto injure, \nto kill",,
छट्,chhat,to cover\nto veil\nto hide,,
छेद्,chhed,"to divide, \nto cut",,
छिद्,chhid,"to cut, \nto interrupt, \nto destroy",,
छिद्र्,chhidr,"to perforate, \nto bore",,
छीक्,chhik,to endure,,
छिल्ल्,chhill,to become loose\nto act wan\ntonly\nto sport,,
छिन्ह्,chhinh,to mark,,
छ्O,chho,"to cut, \nto mow",,
छृद्,chhrid,"to kindle\nto kindle\nto shine, \nto play",,
छृप्,chhrip,"to kindle, \nto beg",,
छृष्,chhrish,to beg or request,,
छुड्,chhud,to cover,,
छुप्,chhup,to \ntouch,,
छुर्,chhur,to cut\nto engrave\nto envelop,,
छुट्,chhut,to cut,,
चि,chi,"to collect\nto collect, \nto cover",,
चीब्,chib,"to take, \nto wear, \nto cover",,
चीभ्,chibh,"to coax, \nto boast",,
चीक्,chik,to suffer,,
चिक्क्,chikk,to give pain,,
चिल्,chil,to dress,,
चिन्त्,chint,"to contemplate, \nto think, \nto discuss\nto remember",,
चिरि,chiri,to kill,,
चिट्,chit,to send out\nto send out,,
चित्,chit,"to perceive\nto think\nto recover consciousness\nto think, \nto perceive, \nto see, \nto regain consciousness",,
चित्र्,chitr,"to paint, \nto make variegated, \nto see or regard anything as wonderful",,
चीव्,chiv,"to speak, \nto shine",,
चृप्,chrip,"to excite, \nto light\nto excite\nto light",,
चृत्,chrit,to kill\nto hurt\nto connect \ntogether,,
चुच्य,chuchya,"to bathe, \nto churn, \nto press",,
चुड्,chud,to conceal,,
चुद्,chud,"to become small\nto drive, \nto put forward, \nto press, \nto push on",,
चुड्ड्,chudd,"to sport, \nto hint one’s meaning",,
चुक्क्,chukk,to suffer pain,,
चुल्,chul,"to raise, \nto elevate",,
चुल्ल्,chull,"to sport, \nto make amorous gestures",,
चुलुम्प्,chulump,"to swing, \nto rock\nto agitate",,
चुम्ब्,chumb,to kill\nto kiss,,
चुण्ड्,chund,"to become small, \nto cut off",,
चुण्ट्,chunt,to cut off,,
चुप्,chup,to move slowly,,
चुर्,chur,"to steal, \nto assume",P,6
चूर्,chur,to burn,P,6
चूर्ण्,churn,"to pulverize, \nto crush, \nto drive, \nto contract",,
चूष्,chush,to drink,,
चुट्,chut,cuṅḍ to cut\nto cut,,
च्यु,chyu,"to endure, \nto laugh\nto go\nto drop down\nto fall, \nto swerve",,
च्युस्,chyus,"to endure, \nto laugh",,
च्युत्,chyut,to flow\nto trickle,,
दा,da,to cut\nto give\nto give,,
डब्,dab,"to throw, \nto send",,
दद्,dad,to give\nto offer\nto present,,
दध्,dadh,to hold: \nto possess,,
दघ्,dagh,"to destroy, \nto protect",,
दह्,dah,to reduce \nto ashed\nto burn\nto scorch\nto \ntorment,,
दै,dai,"to purify\nto cleanse, \nto be purified",,
दक्ष्,daksh,"to go\nto kill\nto increase, \nto do or act quickly",,
दल्,dal,"to break\nto split\nto expand, \nto open\nto cut, \nto tear",,
दम्,dam,"to be quiet, \nto restrain, \nto tame, \nto subdue",,
दम्भ्,dambh,"to deceive, \nto injure\nto send, \nto propel",,
दान्,dan,"to cut off, \nto straighten",,
दण्ड्,dand,"to punish, \nto fine, \nto be subdued",,
दंस्,dans,to speak,,
दंश्,dansh,"to bite, \nto sting\nto bite\nto sting\nto see, \nto bite\nto speak",,
डप्,dap,to collect,,
दरिद्रा,daridra,to be poor\nto be distressed,,
दस्,das,"to perish\nto see, \nto bite",,
दास्,das,to give,,
दाश्,dash,to kill\nto give\nto offer an oblation,,
दात्,dat,"to cut, \nto divide",,
दय्,day,"to pity, \nto give\nto go\nto protect\nto kill\nto take",,
दाय्,day,to give,,
दे,de,to protect,,
देव्,dev,"to play, \nto sport\nto lament",,
धा,dha,"to hold, \nto put, \nto maintain, \nto give, \nto grant, \nto bear, \nto assume, \nto have",,
धाख्,dhakh,"to be dry, \nto be able",,
धक्क्,dhakk,"to kill, \nto destroy",,
धण्,dhan,to sound,,
धन्,dhan,"to bear fruit, \nto produce crops of grain",,
धंस्,dhans,to fall down\nto perish\nto go,,
धन्व्,dhanv,to go,,
ढौक्,dhauk,"to go, \nto approach",,
धाव्,dhav,"to run\nto flow, \nto cleanse, \nto wash",,
धे,dhe,"to suck, \nto drink, \nto draw",,
धेक्,dhek,to see,,
धि,dhi,to hold\nto possess,,
धी,dhi,"to support, \nto hold, \nto despise",,
धिक्ष्,dhiksh,"to kindle, \nto be harassed or weary, \nto live",,
धिन्व्,dhinv,"to please, \nto delight",,
धिष्,dhish,to sound,,
ध्मा,dhma,"to blow\nto breathe out, \nto produce sound by blowing, \nto blow a fire, \nto manufacture by blowing",,
ध्Oर्,dhor,"to go quickly, \nto run, \nto trot\nto be skilful",,
ध्राड्,dhrad,to divide\nto split,,
ध्राध्,dhradh,to be able or competent,,
ध्रै,dhrai,to be pleased,,
ध्रज्,dhraj,to go,,
ध्रण्,dhran,to sound as a drum or other instrument,,
ध्रण्ज्,dhranj,to go,,
ध्रांक्ष्,dhranksh,to desire\nto caw\nto crow,,
ध्रस्,dhras,to glean\nto glean\nto glean,,
ध्रेक्,dhrek,to sound\nto be filled with joy,,
धृ,dhri,"to be\nto exist\nto grow old\nto hold, \nto owe\nto hold, \nto support, \nto possess, \nto keep, \nto seize, \nto place",,
ध्रिज्,dhrij,to go,,
धृज्,dhrij,to go,,
धृष्,dhrish,"to be bold, confident, impudent or impatient\nto challenge\nto come \ntogether, \nto hurt or injure, \nto offend\nto offend, \nto overcome",,
ध्रु,dhru,to be firm\nto go\nto be fixed,,
ध्रुव्,dhruv,to go\nto stand firm,,
धु,dhu,to shake\nto tremble,,
