Root,Transliteration,Meaning,Voice,Class
जर्च्,jarch,"to speak, \nto blame",,
जर्ज्,jarj,to say\nto blame\nto kill\nto reprove,,
जस्,jas,"to hurt, \nto strike\nto injure, \nto strike\nto set free",,
जष्,jash,to kill,,
जट्,jat,to become matted,,
जेह्,jeh,"to try, \nto go",,
जेष्,jesh,to go,,
झम्,jham,to eat\nto consume,,
झर्झ्,jharjh,"to speak\nto blame\nto menace\nto speak\nto hurt, injure or kill\nto menace",,
झष्,jhash,"to hurt, injure or kill\nto take, \nto put on or wear",,
झट्,jhat,"to become matted \ntogether , \nto become confused or entangled",,
झृ,jhri,to become old\nto decay\nto grow old,,
जि,ji,"to conquer\nto overcome\nto surpass, \nto win, \nto restrain",P,1
जिम्,jim,to eat,,
जिन्व्,jinv,"to please\nto be lively, active, busy\nto excise\nto animate, \nto promote, confer\nto speak",,
जिष्,jish,to sprinkle,,
जीव्,jiv,"to live, \nto revive, \nto live upon",,
जृ,jri,"to grow old, \nto decay, \nto perish, \nto be digested\nto grow old, \nto decay\nto grow old, \nto waste away\nto decay\nto grow old, \nto waste away\nto decay",,
ज्रि,jri,"to conquer\nto defeat, \nto grow old\nto grow old, \nto decay",,
जु,ju,"to go, \nto be quick",,
जुड्,jud,"to go\nto send, \nto direct",,
जुग्,jug,to abandon\nto exclude,,
जुम्भ्,jumbh,"to gape\nto yawn\nto expand\nto open\nto spread\nto increase, appear, \nto rise",,
जूर्,jur,"to kill, \nto grow old, \nto be angry",,
जुष्,jush,"to please\nto like\nto take delight in\nto suffer\nto enter\nto reason\nto investigate\nto be satisfied\nto hurt\nto think, \nto examine, \nto be satisfied",,
जुत्,jut,to shine,,
ज्वल्,jval,to blaze\nto glow\nto shine,P,1
ज्वर्,jvar,to be hot with fever or passion\nto be ill,P,1
ज्या,jya,"to become old, \nto decay",,
ज्यु,jyu,to go,,
कब्,kab,to colour,,
कच्,kach,to bind\nto cry\nto shine\nto bind,,
काच्,kach,to shine\nto bind,,
कड्,kad,to be confused\nto be proud,,
कद्,kad,"to be confounded, \nto grieve",,
कड्ड्,kadd,to be harsh or rough,,
कग्,kag,to perform or do anything or act,,
कै,kai,to sound,,
कक्,kak,to wish\nto be proud\nto be unsteady\nto be thirsty,,
कख्,kakh,to\nto,,
कल्,kal,"to go, \nto count, \nto hold, \nto know, \nto regard\nto sound\nto count\nto throw",U,10
काल्,kal,to count the time,U,10
कल्ल्,kall,to sound indistinctly,,
कम्,kam,"to love, \nto long for\nto have intercourse with\nto value highly",,
कम्ब्,kamb,to go,,
कम्प्,kamp,to shake or tremble,,
कण्,kan,to cry or bewail\nto go or approach\nto wink,,
कन्,kan,to shine\nto love\nto wish\nto go,,
कण्ड्,kand,"to be proud\nto be proud\nto unhusk\nto separate the chaff from the grain, \nto protect",,
कन्द्,kand,to be confounded\nto grieve\nto call\nto shed tears,,
कङ्क्,kank,to go,,
काङ्क्ष्,kanksh,to desire or long for,,
कंस्,kans,"to go, \nto destroy",,
कण्ठ्,kanth,"to be anxious, \nto remember with regret\nto grive for, \nto miss",,
कर्ब्,karb,to go or approach,,
कर्द्,kard,to rumble\nto caw,,
कर्ज्,karj,to pain,,
कर्ण्,karn,to bore,,
कर्त्,kart,to slacken,,
कर्व्,karv,"to be proud, \nto boast",,
कस्,kas,to go,,
कास्,kas,to cough,,
कश्,kash,"to go, \nto punish\nto sound",,
कष्,kash,to kill or injure\nto try on a \ntouchs\ntone\nto rub,,
काश्,kash,to shine\nto shine,,
कट्,kat,to go\nto go or approach\nto rain\nto cover or \nto surround,,
कठ्,kath,"to drag on the days of life, \nto live in distress",U,10
कथ्,kath,to tell,U,10
कत्र्,katr,to slacken,,
कत्थ्,katth,to praise\nto boast\nto flatter,A,1
कव्,kav,"to praise\nto describe, \nto compose a poem",,
केल्,kel,to shake\nto sport,,
केप्,kep,to shake or tremble,,
केत्,ket,"to make hear, \nto call, \nto advise",,
खब्,khab,to go,,
खच्,khach,"to be born again\nto come forth\nto fasten, \nto set",,
खद्,khad,"to be firm, \nto kill",,
खाद्,khad,to eat\nto devour,,
खढ्,khadh,to break in pieces,,
खै,khai,to strike\nto be firm,,
खज्,khaj,to churn\nto agitate\nto limp,,
खक्ख्,khakkh,to laugh at,,
खन्,khan,to dig up,U,1
खण्ड्,khand,"khuṅḍ to break in pieces\nto break, \nto cut, \nto tear \nto pieces",,
खर्ब्,kharb,to go,,
खर्द्,khard,"to bite, \nto sting",,
खर्ज्,kharj,to pain\nto worship,,
खर्व्,kharv,to proud or haughty,,
खष्,khash,"to injure, hurt or kill",,
खट्,khat,to desire,,
खट्ट्,khatt,"to cover, \nto screen",,
खेल्,khel,to shake\nto tremble\nto play,P,1
खेट्,khet,to eat,,
खेव्,khev,to serve,,
खिद्,khid,to be displeased or distressed\nto be distresed\nto strike\nto afflict\nto be displeased,A,8
खिद्,khid,to be displeased or distressed\nto be distresed\nto strike\nto afflict\nto be displeased,A,4
खिद्,khid,to be displeased or distressed\nto be distresed\nto strike\nto afflict\nto be displeased,P,6
खिल्,khil,to glean,,
खिट्,khit,"to fear, \nto frighten",,
ख्Oट्,khot,"to throw, \nto eat\nto limp, \nto be lame",,
खु,khu,to sound,,
खुड्,khud,to cover,,
खुज्,khuj,to rob\nto steal,,
खुण्ड्,khund,to limp\nto break in\nto pieces,,
खुर्,khur,to cut,,
खुर्द्,khurd,to play,,
ख्या,khya,"to relate, \nto tell",,
कि,ki,to know,,
किल्,kil,to become white\nto sport\nto send,,
कील्,kil,to bind\nto fit,,
किष्क्,kishk,to kill,,
किट्,kit,to fear\nto frighten\nto go or approach,,
कित्,kit,to desire\nto dwell\nto live\nto heal or cure\nto doubt,,
कीट्,kit,"to tinge, \nto colour",,
क्लद्,klad,to make defective,,
क्लम्,klam,to be fatigued\nto be fatigued,,
क्लन्द्,kland,to call out\nto cry,,
क्लप्,klap,to whisper,,
क्लथ्,klath,to hurt or kill\nto kill,,
क्लेश्,klesh,to speak inarticulately\nto impede,,
क्लेव्,klev,to serve,,
क्लीब्,klib,to behave like a eunuch\nto be timorous or modest or unassuming,,
क्लिद्,klid,to become wet,,
क्लिन्द्,klind,to lament,,
क्लिश्,klish,"to be afflicted\nto \ntorment\nto \ntorment, \nto distress",,
क्लु,klu,to go,,
क्लुप्,klup,to be fit for\nto be able,,
क्मर्,kmar,to be crooked,,
क्नस्,knas,"to be crooked in mind or body, \nto shine",,
क्नथ्,knath,"to hurt, \nto injure, \nto kill\nto kill",,
क्नू,knu,to sound,,
क्नूय्,knuy,to make a creaking sound\nto be wet\nto sink,,
क्रद्,krad,"to be confounded, \nto grieve",,
क्रम्,kram,"to walk\nto step\nto go, \nto cross\nto leap\nto ascend",P,1
क्रन्द्,krand,to call out\nto cry\nto cry out continually\nto lament\nto grieve,P,1
क्रन्द्,krand,to call out\nto cry\nto cry out continually\nto lament\nto grieve,U,1
क्रप्,krap,to pity\nto go,,
क्रथ्,krath,"to injure, hurt or kill",,
कृ,kri,"to do, \nto make\nto kill, \nto hurt\nto kill\nto scatter\nto throw",,
क्री,kri,to buy,,
कृड्,krid,to become thick,,
क्रीड्,krid,to amuse oneself\nto play\nto gamble\nto make a noise or creak or break,,
कृन्त्,krint,to surround,,
कृप्,krip,to be able,,
कृश्,krish,to make or become emaciated,,
कृष्,krish,"to draw, \nto plough\nto draw\nto plough",,
कृत्,krit,"to cut\nto mention, \nto celebrate",,
क्रुच्,kruch,to make crooked\nto bend or curve\nto lessen,,
क्रुध्,krudh,to be angry,P,4
क्रुश्,krush,to call out\nto cry,,
क्षद्,kshad,"to cut, \nto protect, \nto eat",,
क्षै,kshai,"to wane, \nto decline\nto decay, \nto waste away",,
क्षज्,kshaj,"to go, \nto give\nto kill\nto live in distress",,
क्षल्,kshal,"to wash, \nto cleanse",,
क्षम्,ksham,to endure\nto forgive\nto forgive\nto suffer\nto allow\nto put up with\nto resist\nto be able \nto do anything,,
क्षम्प्,kshamp,"to endure, \nto forgive\nto forgive or endure",,
क्षण्,kshan,"to wound, \nto hurt, \nto kill",,
क्षप्,kshap,"to throw, \nto cast",,
क्षर्,kshar,"to flow\nto ooze\nto wane\nto become useless, \nto melt",,
क्षेड्,kshed,to eat,,
क्षेव्,kshev,to spit out,,
क्षि,kshi,"to kill\nto decay\nto wane, \nto waste\nto dwell\nto go",,
क्षी,kshi,to kill\nto kill,,
क्षीब्,kshib,to be drunk or in\ntoxicated,,
क्षीज्,kshij,to speak inarticulately,,
क्षिण्,kshin,"to kill, \nto hurt",,
क्षिप्,kship,to throw\nto throw,,
क्षिट्,kshit,to make an inarticulate sound,,
क्षिव्,kshiv,to eject from the mouth\nto vomit\nto spit out\nto spit,,
क्षीव्,kshiv,to be drunk or in\ntoxicated\nto spit out,,
क्ष्माय्,kshmay,to tremble\nto shake,,
क्ष्मील्,kshmil,to wink,,
क्ष्णु,kshnu,to whet,,
क्ष्Oट्,kshot,"to throw, \nto cast",,
क्षु,kshu,to sneeze,,
क्षुभ्,kshubh,"to be agitated, \nto shake\nto be agitated\nto disturb\nto tremble\nto agitate",,
क्षुद्,kshud,"to go\nto pound, \nto crush",,
क्षुध्,kshudh,to be hungry,,
क्षुम्प्,kshump,to go,,
क्षुप्,kshup,to be in\ntoxicated,,
क्षुर्,kshur,to scratch,,
क्ष्वेल्,kshvel,"to leap, \nto move\nto shake",,
क्ष्विड्,kshvid,"to melt, \nto discharge\nto be wet or unctuous\nto discharge juice, \nto emit sap",,
क्ष्विद्,kshvid,to be wet,,
कु,ku,to hum\nto moan\nto sound,P,2
कू,ku,to sound\nto sound\nto groan,P,2
कुभ्,kubh,to wet,,
कुच्,kuch,"to contract\nto shrink\nto be crooked\nto make crooked\nto bend, or curve\nto lessen\nto utter a shrill cry\nto contract\nto bend\nto be crooked\nto impede\nto write or delineate",,
कुड्,kud,to act as a child\nto heap\nto sink\nto become thick,,
कुद्,kud,to tell a lie,,
कूड्,kud,to become firm\nto eat,,
कुद्र्,kudr,to tell a lie,,
कुह्,kuh,"to surprise, \nto deceive",,
कुज्,kuj,"to make any inarticulate sound, \nto hum\nto coo\nto warble\nto protect\nto steal",,
कुक्,kuk,to take\nto accept\nto seize,,
कुल्,kul,to collect\nto be related or \nto behave as a kinsman\nto proceed uninterruptedly\nto reckon,,
कुमार्,kumar,to play,,
कुम्ब्,kumb,to cover,,
कुम्भ्,kumbh,to cover,,
कुम्प्,kump,"kumbh to cover, \nto dress\nto cover\nto dress",,
कुण्,kun,to invite\nto sound\nto support with gifts,,
कूण्,kun,"to speak, \nto hold a consultation",,
कुण्ड्,kund,to burn\nto maim or mutilate,,
कुंस्,kuns,to speak\nto speak,,
कुंश्,kunsh,to shine\nto shine,,
कुण्ट्,kunt,to be lame\nto cover,,
कुण्ठ्,kunth,to be mutilated or blunted\nto loosen\nto be dull or stupid or idle,,
कुन्थ्,kunth,to hurt\nto suffer pain,,
कुप्,kup,"to be angry\nto speak, \nto shine",P,4
कुर्,kur,to sound,,
कुर्द्,kurd,to play,,
कुस्,kus,"to embrace, \nto surround",,
कुष्,kush,"to draw out, \nto extract, \nto tear, \nto expel",,
कुस्म्,kusm,to smile improperly,,
कुट्,kut,"to be crooked, \nto bend\nto break in\nto pieces\nto break \nto pieces\nto cut",,
कुत्,kut,to cover,,
कूट्,kut,"to avoid giving\nto render indistinct or unintelligible\nto burn, \nto give pain",,
कुथ्,kuth,"to cling \nto, \nto hurt\nto become putrid\nto kill",,
कुत्स्,kuts,"to despise, \nto blame",,
कुट्ट्,kutt,"to boil\nto cut, \nto censure",,
कुटुम्ब्,kutumb,to support,,
क्वण्,kvan,to jingle\nto tinkle\nto hum\nto warble,,
क्वथ्,kvath,to boil\nto decoct\nto digest,,
ला,la,to take\nto give\nto melt,,
लभ्,labh,"to get, \nto obtain, \nto take, \nto have \nto find, \nto be able, \nto know",,
लाभ्,labh,"to throw, \nto direct",,
लच्छ्,lachchh,to mark,,
लाछ्,lachh,to mark\nto distinguish,,
लड्,lad,"to loll the \ntongue, \nto churn\nto blame, \nto harass\nto play",,
लग्,lag,"to adhere \nto, \nto become united, \nto come in contact, \nto happen, \nto approach, \nto \ntouch, \nto produce an effect\nto taste, \nto obtain",,
लाघ्,lagh,to be able,,
लैण्,lain,to go\nto approach\nto embrace\nto send,,
लज्,laj,"to be ashamed\nto be bashful\nto fry, \nto roast\nto fry, \nto roast, \nto blame, \nto traduce\nto injure, \nto be strong, \nto take, \nto dwell, \nto speak, \nto shine, \nto be manifest",,
लाज्,laj,"to blame, \nto fry",,
लख्,lakh,"to go or move\nto go, \nto move",,
लाख्,lakh,"to dry\nto adorn, \nto suffice",,
लक्ष्,laksh,"to observe, \nto mark\nto see, \nto look at",,
लल्,lal,"to desire, \nto seek\nto play",,
लम्ब्,lamb,"to sound, \nto delay, \nto fall, \nto hang down",,
लण्ड्,land,"to speak, \nto shine\nto speak, \nto shine\nto throw up\nto throw up",,
लङ्ग्,lang,"to go, \nto limp",,
लङ्घ्,langh,"to dry up, \nto diminish, \nto mount upon\nto go, \nto fast, \nto transgress\nto speak, \nto shine, \nto transgress",,
लप्,lap,"to speak, \nto prate, \nto whisper",,
लर्ब्,larb,"to go, \nto move",,
लस्,las,"to embrace, \nto play, \nto shine",,
लश्,lash,"to exercise an art, \nto do anything scientifically",,
लष्,lash,"to wish, \nto long for",,
लट्,lat,"to be a child, \nto act or talk like a child, \nto cry",,
लट्ट्,latt,"to fondle, \nto caress",,
लय्,lay,"to go, \nto move",,
लेप्,lep,to go\nto move,,
ल्हप्,lhap,"to speak, \nto sound",,
ली,li,"to adhere \nto, \nto be absorbed, \nto be dissolved, \nto hide in, \nto rest on, \nto disappear\nto adhere \nto\nto melt\nto be absorbed in\nto melt\nto melt",,
लिह्,lih,to lick\nto taste,,
लिख्,likh,"to write, \nto scratch, \nto draw, \nto \ntouch, \nto peck",,
लिङ्ग्,ling,"to go\nto move\nto paint, \nto variegate",,
लिप्,lip,"to anoint, \nto besmear, \nto cover, \nto spread over, \nto stain, \nto pollute",,
लिश्,lish,"to decrease, \nto become small\nto go, \nto move",,
ल्Oच्,loch,"to see, \nto perceive",,
ल्Oड्,lod,to be mad,,
ल्Oक्,lok,"to see\nto perceive\nto speak, \nto shine",,
ल्Oष्ट्,losht,to heap up,,
लू,lu,to cut\nto pluck\nto divide\nto destroy,,
लुभ्,lubh,"to confound, \nto disturb\nto covet, \nto long for, \nto allure",,
लुच्,luch,to remove\nto pluck,,
लुड्,lud,to churn\nto stir\nto disturb,,
लुज्,luj,"to injure, \nto be strong, \nto take, \nto dwell, \nto speak, \nto shine\nto injure\nto be strong\nto take\nto dwell\nto speak\nto shine",,
लुल्,lul,to move \nto and fro\nto stir\nto make tremulous,,
लुम्ब्,lumb,"to be invisible, \nto \ntorment\nto \ntorment",,
लुण्ड्,lund,to steal or rob,,
लुण्ट्,lunt,to rob\nto plunder\nto be idle\nto resist\nto be lame,,
लुण्ठ्,lunth,"to steal, \nto plunder",,
लुन्थ्,lunth,"to strike, \nto suffer pain",,
लुप्,lup,"to be confused, \nto vanish\nto cut, \nto break. \nto rob, \nto plunder, \nto seize, \nto suppress",,
लुष्,lush,"to injure, \nto hurt",,
लूष्,lush,to decorate,,
लुट्,lut,"to resist\nto oppose\nto wallow, \nto roll about, \nto join\nto churn, \nto agitate, \nto roll, \nto wallow, \nto be connected with\nto churn\nto agitate\nto be connected\nto wallow\nto roll\nto speak, \nto shine",,
लुठ्,luth,"to strike, \nto knock down",,
मा,ma,"to measure\nto measure, \nto weigh, \nto limit, \nto compare in size\nto measure\nto limit\nto shine\nto appear\nto be",,
मभ्र्,mabhr,to go,,
मच्,mach,"to cheat, \nto boast, \nto pound\nto hold, \nto grow high, \nto adore",,
मद्,mad,"to bind\nto kill\nto gratify, \nto please\nto rejoice, \nto be poor or distressed, \nto be in\ntoxicated or mad",,
मह्,mah,to worship\nto worship\nto revere,,
माह्,mah,to measure,,
मज्,maj,"to be mad, \nto sound\nto sound",,
मख्,makh,to go,,
मक्ष्,maksh,to collect,,
मल्,mal,to hold\nto possess,,
मण्,man,"to sound, \nto murmur",,
मन्,man,"to be proud, \nto s\ntop\nto know, \nto think\nto think, \nto suppose, \nto regard as, \nto esteem, \nto honour, \nto know",,
मान्,man,"to investigate\nto examine\nto s\ntop, \nto be proud\nto worship",,
मण्ड्,mand,"to adorn\nto adorn oneself\nto divide, \nto clothe\nto surround",,
मन्द्,mand,to praise\nto be glad\nto proud\nto sleep\nto shine\nto move slowly,,
मङ्घ्,mangh,"to adorn, \nto decorate\nto go, \nto blame, \nto be moving, \nto cheat",,
मंह्,manh,"to grow old\nto speak, \nto shine",,
मङ्क्,mank,"to adorn, \nto decorate",,
मङ्ख्,mankh,to go,,
मांक्ष्,manksh,to desire\nto wish,,
मण्ठ्,manth,to remember with regret\nto grieve for,,
मन्थ्,manth,"to churn, \nto shake, \nto destroy, \nto afflict\nto churn, \nto stir\nto churn, \nto stir\nto shake\nto kill\nto crush\nto tear off\nto kill\nto injure\nto be afflicted\nto suffer pain",,
मन्त्र्,mantr,"to consult, \nto advise, \nto ponder over",,
मर्ब्,marb,to go,,
मर्च्,march,"to sound, \nto take",,
मार्ग्,marg,"to seek, \nto strive after, \nto obtain",,
मार्ज्,marj,"to sound, \nto cleanse, \nto purify",,
मर्व्,marv,to fill,,
मस्,mas,"to measure, \nto charge for",,
मश्,mash,to sound\nto be angry,,
मष्,mash,to kill\nto sound,,
मस्ज्,masj,"to sink down, \nto be immersed in water\nto be disheartened",,
मस्क्,mask,to go,,
मठ्,math,"to grind, \nto dwell",,
मव्य,mavya,to bind,,
मय्,may,to go,,
मे,me,"to return, \nto exchange",,
मेध्,medh,"to know, \nto kill, \nto meet",,
मेप्,mep,to go,,
मेथ्,meth,"to know, \nto understand, \nto kill, \nto hurt",,
मेव्,mev,"to serve, \nto worship",,
मि,mi,"to throw, \nto scatter",,
मी,mi,"to die, \nto perish, \nto kill, \nto hurt\nto go, \nto move\nto kill, \nto destroy, \nto hurt, \nto lessen",,
मिच्छ्,michchh,"to annoy, \nto hurt, \nto obstruct",,
मिद्,mid,"to be greasy, \nto be soft, \nto melt\nto love, \nto melt\nto understand, \nto kill",,
मिध्,midh,"to understand, \nto kill",,
मिह्,mih,"to sprinkle, \nto make water, \nto wet",,
मिज्,mij,"to speak, \nto shine",,
मिल्,mil,"to be united with, \nto meet, \nto join, \nto clash, \nto happen",,
मील्,mil,"to close the eyes, \nto twinkle, \nto fade, \nto disappear",,
मीम्,mim,to go,,
मिन्द्,mind,"to love, \nto melt, \nto become far",,
मिन्व्,minv,to love\nto sprinkle,,
मिश्,mish,to make noise\nto be angry,,
मिष्,mish,"to make noise\nto rival, \nto contend with, \nto look on or at\nto sprinkle, \nto wet, \nto serve",,
मिश्र,mishra,"to mix, \nto add, \nto combine",,
मिथ्,mith,to understand\nto hurt,,
मीव्,miv,to grow fat or large,,
म्लै,mlai,"to be sad, \nto become weary, \nto fade, \nto be emaciated",,
म्लेच्छ्,mlechchh,to speak indistinctly\nto speak indistinctly,,
म्लेट्,mlet,to be mad,,
म्लेव्,mlev,"to serve, \nto worship",,
म्लुच्,mluch,"to go, \nto move",,
म्ना,mna,"to study, \nto repeat, \nto remember, \nto think",,
म्रद्,mrad,"to crush, \nto pound",,
म्रक्ष्,mraksh,"to collect, \nto rub\nto combine, \nto smear, \nto speak indistinctly",,
म्रेट्,mret,to be mad,,
मृ,mri,to die\nto kill\nto injure,,
मृड्,mrid,"to make happy, \nto rejoise\nto pound\nto be happy",,
मृढ्,mridh,to grind\nto crush\nto bruise\nto squeeze\nto press\nto pound\nto rule\nto overcome,,
मृध्,mridh,"to moisten, \nto kill",,
मृग्,mrig,"to seek, \nto examine, \nto investigate, \nto beg\nto seek, \nto hunt",,
मृज्,mrij,"to cleanse, \nto wipe off, \nto adorn, \nto sharpen\nto cleanse\nto purify\nto wipe off\nto wipe off, \nto adorn",,
मृक्ष्,mriksh,"to collect, \nto rub",,
मृण्,mrin,to kill,,
मृश्,mrish,"to \ntouch, \nto consider, \nto reflect",,
मृष्,mrish,"to bear, \nto endure, \nto suffer\nto forgive\nto sprinkle, \nto endure",,
म्रुच्,mruch,"to go or move\nto go, \nto move",,
मू,mu,to bind,,
मुच्,much,"to cheat, \nto be wicked, \nto tell\nto free, \nto liberate, \nto release, \nto loosen, \nto abandon, \nto grant, \nto except, \nto shed, \nto discharge, \nto dismiss, \nto utter, \nto void\nto loosen, \nto liberate, \nto rejoice",,
मुद्,mud,"to be glad, \nto rejoise\nto mix, \nto unite",,
मुह्,muh,"to loose sense, \nto faint, \nto be bewildered, \nto err, \nto be foolish",,
मुज्,muj,to sound\nto sound,,
मूल्,mul,"to cause \nto grow, \nto rear\nto take root, \nto be firm, \nto accumulate",,
मुण्,mun,to promise,,
मुण्ड्,mund,"to be pure, \nto sink\nto grind, \nto shave, \nto shear",,
मुण्ठ्,munth,"to protect, \nto run away",,
मुर्,mur,"to surround, \nto bind \ntogether",,
मुर्छ्,murchh,"to faint, \nto increase, \nto grow, \nto become strong, \nto take effect on",,
मुर्व्,murv,to bind,,
मुष्,mush,"to destroy, \nto break, \nto steal\nto steal, \nto carry off\nto excel\nto cover\nto captivate",,
मूष्,mush,"to steal, \nto rob",,
मुस्त्,must,to collect,,
मुट्,mut,"to crush, \nto grind, \nto break\nto blame, \nto crush, \nto bind\nto crush, \nto grind, \nto break",,
मूत्र्,mutr,to discharge urine,,
नभ्,nabh,"to destroy, \nto perish\nto kill\nto kill",,
नद्,nad,"to speak, \nto shine",,
नह्,nah,"to tie, \nto arm or \nto put on oneself",,
नख्,nakh,to go,,
नक्क्,nakk,to perish,,
नक्ष्,naksh,to go,,
नल्,nal,to smell\nto bind,,
नम्,nam,to salute\nto sink\nto bend,,
नन्द्,nand,to be glad or satisfied,P,1
नंख्,nankh,to go,,
नर्द्,nard,"to sound, \nto roar",,
नस्,nas,to be crooked,,
नास्,nas,to sound,,
नश्,nash,"to disappear, \nto perish, \nto run away, \nto be unsucessful",,
नट्,nat,to dance\nto act\nto sound\nto roar\nto thunder\nto speak,,
नाथ्,nath,to ask\nto harass\nto be master\nto bless,,
नय्,nay,to go,,
नेद्,ned,to censure\nto be near,,
नेष्,nesh,to go,,
न्ही,nhi,"to blush, \nto be ashamed",,
नी,ni,"to lead\nto carry\nto bring\nto pass, \nto spend\nto trace",,
निद्,nid,"to ridicule, \nto reach",,
निज्,nij,"to wash\nto wash, \nto purify, \nto nourish",,
निक्ष्,niksh,to kiss,,
निल्,nil,to understand with difficulty\nto become thick,,
नील्,nil,to be of a dark colour\nto dye dark,,
निन्द्,nind,to blame\nto censure\nto condemn,,
निंस्,nins,to kiss,,
निन्व्,ninv,to sprinkle\nto attend,,
निश्,nish,to meditate upon,,
निष्,nish,"to sprinkle, \nto moisten",,
निष्क्,nishk,"to measure, \nto weigh",,
नीव्,niv,to become fat,,
निवास्,nivas,to cover,,
नृ,nri,to carry\nto lead,,
नृत्,nrit,"to dance, \nto jesticulate",,
णु,nu,to sound,,
नु,nu,to praise,,
नू,nu,to praise,,
नुद्,nud,to throw\nto throw\nto push\nto urge on\nto drive\nto remove\nto direct,,
ओख्,okh,to be dry\nto be able or sufficient\nto adorn\nto refuse\nto prevent,,
ओलज्,olaj,to throw up,,
ओलण्ड्,oland,to throw\nto throw up,,
ओण्,on,to remove\nto drag along,,
पा,pa,"to drink, \nto feast on, \nto swallow up\nto protect\nto fgovern\nto preserve",,
पच्,pach,"to cook\nto bake, \nto burn\nto digest, \nto ripen, \nto develop\nto make clear\nto spread, \nto make clear",,
पद्,pad,"to go, \nto attain, \nto observe\nto go, \nto move",,
पै,pai,"to dry, \nto wither",,
पैण्,pain,"to go, \nto send, \nto \ntouch, \nto embrace",,
पक्ष्,paksh,"to seize, \nto accept, \nto take aside\nto seize\nto accept, \nto take aside",,
पल्,pal,to go,,
पाल्,pal,"to protect, \nto govern",,
पण्,pan,"to praise\nto transact business, \nto deal in, \nto barter, \nto bet, \nto stake",,
पण्ड्,pand,"to destroy, \nto collect\nto go",,
पन्त्,pant,"to thunder, \nto go",,
पन्थ्,panth,to go,,
पप्,pap,to go,,
पार्,par,"to bring \nto a conclusion, \nto accomplish",,
पर्द्,pard,to break wind,,
पर्ण्,parn,to make green,,
पर्व्,parv,to fill,,
पस्,pas,to destroy,,
पश्,pash,"to bind, \nto fetter",,
पष्,pash,"to go, \nto move",,
पट्,pat,"to go\nto speak, \nto cover\nto string, \nto envelop, \nto clothe",,
पत्,pat,"to be master of, \nto rule, \nto possess, \nto be fit for\nto fall, \nto fly, \nto alight, \nto sink, \nto be degraded, \nto attack",,
पठ्,path,"to declare, \nto mention, \nto cite, \nto study, \nto read, \nto recite",,
पथ्,path,to throw,,
पय्,pay,to go,,
पेल्,pel,to go,,
पेस्,pes,to go,,
पेष्,pesh,"to resolve upon, \nto strive diligently for",,
पेव्,pev,to serve,,
फक्क्,phakk,"to behave ill, \nto go softly",,
फल्,phal,"to bear fruit, \nto result, \nto succeed, \nto be useful or fruitful\nto burst open, \nto split",,
फण्,phan,"to go, \nto produce easily",,
फेल्,phel,to go,,
पि,pi,to go,,
पी,pi,to drink,,
पिच्छ्,pichchh,"to split, \nto cut, \nto divide",,
पीड्,pid,"to afflict, \nto harass, \nto annoy, \nto squeeze, \nto press, \nto oppose, \nto give pain",,
पिज्,pij,"to kill, \nto be strong, \nto take, \nto dwell\nto speak, \nto shine\nto tinge\nto colour\nto join\nto divide\nto speak inarticulately",,
पील्,pil,to check\nto impede\nto obstruct,,
पिण्ड्,pind,"to roll in\nto a lump, \nto heap\nto roll in\nto a lump, \nto heap\nto unite",,
पिंस्,pins,"to speak, \nto shine",,
पिन्व्,pinv,"to sprinkle, \nto serve",,
पिस्,pis,to go\nto go,,
पिश्,pish,to form\nto be reduced \nto constituent part\nto light,,
पिष्,pish,"to grind, \nto pound, \nto crush",,
पिट्,pit,to injure\nto kill\nto feel pain\nto sound\nto assemble\nto heap \ntogether,,
पीव्,piv,to be fat or thick,,
प्लक्ष्,plaksh,to eat,,
प्ली,pli,to go,,
प्लिह्,plih,to go,,
प्लु,plu,"to go, \nto jump, \nto fly, \nto float, \nto swim",,
प्लुष्,plush,"to burn, \nto scorch",,
प्ल्यूल्,plyul,"to cut, \nto wash in water impregnated with alkaline salt",,
प्रा,pra,to fill,,
प्रच्छ्,prachchh,to ask\nto seek\nto desire\nto know,,
प्रस्,pras,"to extend, \nto expand",,
प्रथ्,prath,"to become famous, \nto increase, \nto spread abroad, \nto arise, \nto appear\nto proclaim, \nto manifest, \nto increase, \nto throw, \nto publish",,
प्रेङ्ख्Oल्,prenkhol,"to swing, \nto shake",,
प्रेष्,presh,to go,,
पृ,pri,"to be busy or active\nto please\nto protect, \nto fill, \nto gratify , \nto blow\nto protect, \nto fill, \nto promote, \nto deliver\nto protect, \nto fill\nto protect, \nto nourish, \nto fill, \nto blow, \nto satisfy",,
प्री,pri,"to please, \nto be satisfied, \nto feel affection for\nto please, \nto delight, \nto show kindness \nto, \nto love, \nto desire, \nto take delight in\nto please, \nto gratify",,
पृच्,prich,"to come in contact with\nto \ntouch\nto hinder, \nto oppose, \nto join\nto \ntouch, \nto bring in\nto contact with, \nto unite, \nto satiate, \nto increase",,
पृज्,prij,to dye,,
पृष्,prish,"to sprinkle, \nto hurt, \nto vex",,
पृथ्,prith,"to go\nto throw, \nto send, \nto direct",,
प्र्Oथ्,proth,"to be equal \nto, \nto be a match for, \nto be complete",,
प्रु,pru,"to go, \nto jump",,
प्रुष्,prush,"to burn, \nto reduce \nto ashes\nto become wet, \nto sprinkle",,
प्रुट्,prut,to rub,,
प्सा,psa,to devour\nto eat,,
